epoch 	 scene 	 val_loss 	 click_auc 	 like_auc 	 follow_auc 	 5s_auc 	 10s_auc 	 18s_auc
59	scene 1	2.1600	0.6660	0.7240	0.6240	0.6820	0.6880	0.7050
59	scene 2	2.1600	0.7210	0.8070	0.8110	0.7110	0.7240	0.7480
59	scene 3	2.1600	0.7350	0.7860	0.7610	0.7400	0.7530	0.7690
59	scene 4	2.1600	0.7180	0.7740	0.6930	0.7120	0.7230	0.7230
60	total scene	2.2740	0.7690	0.8140	0.8170	0.7750	0.7730	0.7850
60	scene 1	2.1590	0.6670	0.7200	0.6220	0.6830	0.6890	0.7080
60	scene 2	2.1590	0.7220	0.8060	0.8190	0.7120	0.7240	0.7480
60	scene 3	2.1590	0.7360	0.7910	0.7610	0.7400	0.7540	0.7690
60	scene 4	2.1590	0.7190	0.7730	0.7130	0.7130	0.7220	0.7220
61	total scene	2.2770	0.7690	0.8160	0.8080	0.7750	0.7730	0.7850
61	scene 1	2.1570	0.6650	0.7290	0.6150	0.6820	0.6880	0.7050
61	scene 2	2.1570	0.7220	0.8080	0.8100	0.7120	0.7240	0.7480
61	scene 3	2.1570	0.7360	0.7840	0.7650	0.7410	0.7540	0.7690
61	scene 4	2.1570	0.7190	0.7780	0.6800	0.7120	0.7220	0.7220
62	total scene	2.2740	0.7700	0.8180	0.8120	0.7750	0.7730	0.7860
62	scene 1	2.1560	0.6660	0.7260	0.5630	0.6830	0.6880	0.7060
62	scene 2	2.1560	0.7220	0.8110	0.8150	0.7120	0.7250	0.7480
62	scene 3	2.1560	0.7360	0.7920	0.7610	0.7410	0.7540	0.7690
62	scene 4	2.1560	0.7190	0.7760	0.6860	0.7120	0.7220	0.7220
63	total scene	2.2730	0.7700	0.8180	0.8100	0.7750	0.7730	0.7860
63	scene 1	2.1550	0.6660	0.7300	0.6110	0.6830	0.6880	0.7050
63	scene 2	2.1550	0.7220	0.8110	0.8120	0.7120	0.7250	0.7490
63	scene 3	2.1550	0.7360	0.7910	0.7560	0.7400	0.7540	0.7690
63	scene 4	2.1550	0.7180	0.7770	0.7040	0.7130	0.7220	0.7220
64	total scene	2.2740	0.7700	0.8190	0.8110	0.7750	0.7730	0.7860
64	scene 1	2.1540	0.6670	0.7330	0.5810	0.6840	0.6890	0.7080
64	scene 2	2.1540	0.7220	0.8120	0.8110	0.7120	0.7250	0.7490
64	scene 3	2.1540	0.7350	0.7840	0.7670	0.7400	0.7540	0.7690
64	scene 4	2.1540	0.7190	0.7800	0.6890	0.7130	0.7220	0.7220
65	total scene	2.2700	0.7690	0.8210	0.8090	0.7750	0.7730	0.7860
65	scene 1	2.1520	0.6660	0.7270	0.6470	0.6810	0.6880	0.7050
65	scene 2	2.1520	0.7220	0.8140	0.8110	0.7120	0.7250	0.7490
65	scene 3	2.1520	0.7350	0.7960	0.7620	0.7400	0.7530	0.7680
65	scene 4	2.1520	0.7190	0.7830	0.6870	0.7130	0.7230	0.7230
66	total scene	2.2730	0.7690	0.8210	0.8120	0.7750	0.7730	0.7860
66	scene 1	2.1520	0.6660	0.7310	0.6310	0.6830	0.6880	0.7050
66	scene 2	2.1520	0.7220	0.8140	0.8110	0.7120	0.7250	0.7490
