epoch 	 scene 	 val_loss 	 click_auc 	 like_auc 	 follow_auc 	 5s_auc 	 10s_auc 	 18s_auc
40	scene 2	2.2020	0.7160	0.7850	0.8140	0.7050	0.7190	0.7430
40	scene 3	2.2020	0.7310	0.7830	0.7270	0.7350	0.7490	0.7650
40	scene 4	2.2020	0.7110	0.7450	0.7950	0.7050	0.7140	0.7140
41	total scene	2.2880	0.7650	0.7980	0.8180	0.7700	0.7690	0.7820
41	scene 1	2.1990	0.6510	0.7470	0.8130	0.6640	0.6720	0.6930
41	scene 2	2.1990	0.7160	0.7870	0.8140	0.7050	0.7190	0.7440
41	scene 3	2.1990	0.7310	0.7930	0.7180	0.7330	0.7480	0.7630
41	scene 4	2.1990	0.7120	0.7500	0.7820	0.7060	0.7150	0.7150
42	total scene	2.2880	0.7650	0.7980	0.8200	0.7710	0.7690	0.7820
42	scene 1	2.1960	0.6500	0.7470	0.8950	0.6640	0.6700	0.6940
42	scene 2	2.1960	0.7170	0.7870	0.8150	0.7060	0.7200	0.7450
42	scene 3	2.1960	0.7320	0.7900	0.7270	0.7360	0.7490	0.7650
42	scene 4	2.1960	0.7130	0.7520	0.8020	0.7070	0.7150	0.7150
43	total scene	2.2840	0.7660	0.8000	0.8170	0.7710	0.7690	0.7830
43	scene 1	2.1930	0.6510	0.7490	0.8310	0.6660	0.6720	0.6940
43	scene 2	2.1930	0.7180	0.7890	0.8110	0.7070	0.7200	0.7450
43	scene 3	2.1930	0.7310	0.7940	0.7230	0.7350	0.7490	0.7650
43	scene 4	2.1930	0.7130	0.7540	0.7950	0.7070	0.7160	0.7160
44	total scene	2.2840	0.7660	0.8010	0.8220	0.7720	0.7690	0.7830
44	scene 1	2.1900	0.6520	0.7480	0.8180	0.6660	0.6730	0.6960
44	scene 2	2.1900	0.7180	0.7910	0.8190	0.7070	0.7210	0.7450
44	scene 3	2.1900	0.7320	0.7910	0.7200	0.7350	0.7490	0.7640
44	scene 4	2.1900	0.7140	0.7590	0.7870	0.7070	0.7150	0.7150
45	total scene	2.2820	0.7660	0.8030	0.8130	0.7720	0.7700	0.7830
45	scene 1	2.1880	0.6510	0.7500	0.5660	0.6660	0.6730	0.6960
45	scene 2	2.1880	0.7180	0.7930	0.8070	0.7070	0.7210	0.7450
45	scene 3	2.1880	0.7320	0.7990	0.7300	0.7350	0.7500	0.7660
45	scene 4	2.1880	0.7140	0.7570	0.8120	0.7080	0.7170	0.7170
46	total scene	2.2810	0.7670	0.8010	0.8220	0.7720	0.7700	0.7840
46	scene 1	2.1850	0.6540	0.7460	0.7590	0.6680	0.6730	0.6950
46	scene 2	2.1850	0.7190	0.7900	0.8160	0.7080	0.7210	0.7460
46	scene 3	2.1850	0.7310	0.7900	0.7420	0.7360	0.7490	0.7650
46	scene 4	2.1850	0.7150	0.7610	0.8160	0.7090	0.7180	0.7180
47	total scene	2.2780	0.7670	0.8050	0.8220	0.7720	0.7710	0.7840
47	scene 1	2.1830	0.6550	0.7540	0.8320	0.6700	0.6760	0.6970
47	scene 2	2.1830	0.7190	0.7950	0.8190	0.7080	0.7220	0.7470
47	scene 3	2.1830	0.7310	0.7920	0.7270	0.7350	0.7500	0.7660
47	scene 4	2.1830	0.7150	0.7600	0.7840	0.7090	0.7180	0.7180
48	total scene	2.2760	0.7670	0.8060	0.8190	0.7730	0.7710	0.7840
48	scene 1	2.1810	0.6550	0.7530	0.6460	0.6690	0.6750	0.6970
48	scene 2	2.1810	0.7200	0.7960	0.8140	0.7090	0.7220	0.7470
48	scene 3	2.1810	0.7330	0.7940	0.7300	0.7370	0.7510	0.7660
48	scene 4	2.1810	0.7160	0.7630	0.8260	0.7090	0.7180	0.7180
49	total scene	2.2780	0.7680	0.8070	0.8190	0.7730	0.7710	0.7850
49	scene 1	2.1790	0.6540	0.7510	0.7720	0.6680	0.6740	0.6970
49	scene 2	2.1790	0.7200	0.7970	0.8120	0.7090	0.7230	0.7470
49	scene 3	2.1790	0.7330	0.8000	0.7360	0.7360	0.7500	0.7660
49	scene 4	2.1790	0.7150	0.7610	0.8000	0.7090	0.7180	0.7180
50	total scene	2.2770	0.7680	0.8090	0.8190	0.7730	0.7710	0.7850
50	scene 1	2.1760	0.6530	0.7550	0.8220	0.6680	0.6750	0.6980
50	scene 2	2.1760	0.7200	0.8000	0.8140	0.7090	0.7230	0.7480
50	scene 3	2.1760	0.7330	0.8010	0.7300	0.7360	0.7510	0.7670
50	scene 4	2.1760	0.7160	0.7640	0.7990	0.7090	0.7190	0.7190
51	total scene	2.2760	0.7680	0.8100	0.8150	0.7730	0.7710	0.7850
51	scene 1	2.1740	0.6550	0.7590	0.6720	0.6710	0.6770	0.6990
51	scene 2	2.1740	0.7200	0.8010	0.8120	0.7090	0.7230	0.7480
51	scene 3	2.1740	0.7320	0.8000	0.7260	0.7360	0.7490	0.7660
51	scene 4	2.1740	0.7150	0.7650	0.7800	0.7090	0.7180	0.7180
52	total scene	2.2750	0.7680	0.8120	0.8200	0.7740	0.7720	0.7850
52	scene 1	2.1720	0.6550	0.7570	0.6300	0.6700	0.6750	0.6970
52	scene 2	2.1720	0.7210	0.8020	0.8180	0.7100	0.7230	0.7480
52	scene 3	2.1720	0.7340	0.8040	0.7400	0.7370	0.7510	0.7670
52	scene 4	2.1720	0.7170	0.7680	0.7890	0.7100	0.7200	0.7200
53	total scene	2.2750	0.7680	0.8110	0.8240	0.7740	0.7710	0.7850
53	scene 1	2.1700	0.6560	0.7520	0.6320	0.6710	0.6770	0.6990
53	scene 2	2.1700	0.7210	0.8020	0.8210	0.7100	0.7230	0.7480
53	scene 3	2.1700	0.7330	0.8030	0.7460	0.7370	0.7500	0.7670
53	scene 4	2.1700	0.7170	0.7670	0.8040	0.7100	0.7200	0.7200
54	total scene	2.2770	0.7680	0.8140	0.8250	0.7740	0.7720	0.7860
54	scene 1	2.1690	0.6560	0.7580	0.6880	0.6710	0.6760	0.6980
54	scene 2	2.1690	0.7210	0.8050	0.8220	0.7100	0.7240	0.7490
54	scene 3	2.1690	0.7330	0.8060	0.7560	0.7370	0.7520	0.7670
54	scene 4	2.1690	0.7170	0.7720	0.7980	0.7100	0.7200	0.7200
55	total scene	2.2740	0.7690	0.8130	0.8210	0.7740	0.7720	0.7860
55	scene 1	2.1680	0.6560	0.7550	0.6260	0.6710	0.6770	0.7000
55	scene 2	2.1680	0.7210	0.8040	0.8170	0.7100	0.7240	0.7490
55	scene 3	2.1680	0.7340	0.8030	0.7520	0.7370	0.7510	0.7680
55	scene 4	2.1680	0.7170	0.7710	0.7930	0.7100	0.7200	0.7200
56	total scene	2.2720	0.7690	0.8170	0.8250	0.7740	0.7720	0.7860
56	scene 1	2.1660	0.6570	0.7580	0.7620	0.6710	0.6780	0.7000
56	scene 2	2.1660	0.7210	0.8080	0.8210	0.7100	0.7240	0.7490
56	scene 3	2.1660	0.7330	0.8060	0.7430	0.7370	0.7510	0.7680
56	scene 4	2.1660	0.7170	0.7760	0.7880	0.7110	0.7200	0.7200
57	total scene	2.2740	0.7690	0.8160	0.8280	0.7740	0.7720	0.7860
57	scene 1	2.1640	0.6570	0.7570	0.6370	0.6720	0.6780	0.6990
57	scene 2	2.1640	0.7210	0.8070	0.8270	0.7100	0.7240	0.7490
57	scene 3	2.1640	0.7340	0.8050	0.7660	0.7360	0.7510	0.7670
57	scene 4	2.1640	0.7180	0.7720	0.7650	0.7100	0.7200	0.7200
58	total scene	2.2740	0.7690	0.8170	0.8200	0.7750	0.7720	0.7860
58	scene 1	2.1620	0.6580	0.7600	0.5940	0.6730	0.6790	0.7020
58	scene 2	2.1620	0.7220	0.8090	0.8170	0.7110	0.7240	0.7490
58	scene 3	2.1620	0.7340	0.8070	0.7590	0.7370	0.7510	0.7670
58	scene 4	2.1620	0.7180	0.7780	0.7780	0.7110	0.7210	0.7210
59	total scene	2.2760	0.7680	0.8190	0.8210	0.7740	0.7720	0.7860
59	scene 1	2.1610	0.6580	0.7610	0.6260	0.6720	0.6780	0.7000
59	scene 2	2.1610	0.7210	0.8100	0.8170	0.7100	0.7240	0.7490
59	scene 3	2.1610	0.7320	0.8090	0.7520	0.7350	0.7500	0.7670
59	scene 4	2.1610	0.7180	0.7770	0.7850	0.7110	0.7210	0.7210
60	total scene	2.2730	0.7690	0.8200	0.8110	0.7740	0.7720	0.7860
60	scene 1	2.1600	0.6570	0.7590	0.6460	0.6720	0.6780	0.7010
60	scene 2	2.1600	0.7220	0.8110	0.8080	0.7110	0.7250	0.7500
60	scene 3	2.1600	0.7340	0.8110	0.7440	0.7370	0.7510	0.7670
