epoch 	 scene 	 val_loss 	 click_auc 	 like_auc 	 follow_auc 	 5s_auc 	 10s_auc 	 18s_auc
33	scene 1	2.5060	0.5530	0.5380	0.5100	0.5550	0.5630	0.5990
33	scene 2	2.5060	0.6160	0.5130	0.5290	0.6040	0.6260	0.6400
33	scene 3	2.5060	0.6310	0.5480	0.5210	0.6340	0.6440	0.6470
33	scene 4	2.5060	0.5950	0.5370	0.6300	0.5940	0.6020	0.6020
34	total scene	2.5070	0.6880	0.5630	0.6040	0.6950	0.6910	0.6940
34	scene 1	2.5010	0.5450	0.4830	0.7410	0.5480	0.5580	0.5830
34	scene 2	2.5010	0.6200	0.5090	0.5420	0.6090	0.6280	0.6430
34	scene 3	2.5010	0.6230	0.5380	0.5830	0.6260	0.6340	0.6410
34	scene 4	2.5010	0.6010	0.5550	0.7950	0.5980	0.6120	0.6120
35	total scene	2.5050	0.6880	0.5640	0.5910	0.6950	0.6920	0.6960
35	scene 1	2.4970	0.5510	0.5180	0.7300	0.5540	0.5650	0.5870
35	scene 2	2.4970	0.6200	0.5120	0.5480	0.6090	0.6280	0.6440
35	scene 3	2.4970	0.6270	0.5180	0.5250	0.6220	0.6360	0.6480
35	scene 4	2.4970	0.6040	0.5380	0.6090	0.6010	0.6160	0.6160
36	total scene	2.4990	0.6910	0.5680	0.5960	0.6980	0.6950	0.6990
36	scene 1	2.4910	0.5400	0.5000	0.1640	0.5450	0.5550	0.5850
36	scene 2	2.4910	0.6240	0.5160	0.5570	0.6130	0.6330	0.6470
36	scene 3	2.4910	0.6210	0.5370	0.5140	0.6240	0.6330	0.6460
36	scene 4	2.4910	0.6030	0.5520	0.5510	0.6000	0.6160	0.6160
37	total scene	2.4970	0.6910	0.5740	0.5940	0.6980	0.6960	0.6980
37	scene 1	2.4880	0.5460	0.5410	0.5640	0.5460	0.5620	0.5870
37	scene 2	2.4880	0.6230	0.5250	0.5480	0.6130	0.6330	0.6460
37	scene 3	2.4880	0.6290	0.5230	0.4370	0.6300	0.6430	0.6500
37	scene 4	2.4880	0.6050	0.5340	0.7430	0.6020	0.6190	0.6190
38	total scene	2.4930	0.6930	0.5680	0.5930	0.6990	0.6980	0.7000
